NavioShip,OperaçOperat,BandeiraFlag,Cheg/Arrivald/m/y,MercadoriaGoods,PesoWeight
GENCO MADELEINE,DESC,ILHAS MARSHALL,19/01/2025 19:00:00,FERTILIZANTES,35727
SIDER IMABARI,DESC,ILHAS MARSHALL,20/01/2025 20:48:00,ENXOFRE A GRANEL,32175
CAPTAIN D LEMPESIS,DESC,LIBERIANA,21/01/2025,FERTILIZANTES,17000
EQUINOX STAR,DESC,GRANDCAYMANA,21/01/2025,FERTILIZANTES,14170
SAGA FALCON,DESC,HONG KONG,21/01/2025 16:12:00,ENXOFRE A GRANEL,35002
KIRRIBILLI,DESC,PANAMENHA,25/01/2025 11:00:00,FERTILIZANTES,32825
LETO,DESC,PANAMENHA,30/01/2025 10:00:00,ENXOFRE A GRANEL,41353
MUSALA,DESC,MALTESA,05/02/2025 13:00:00,FERTILIZANTES,13793
ALKYONI,EMB,ILHAS MARSHALL,14/12/2024 14:00:00,ACUCAR A GRANEL,48000
HUAN HANG 19,EMB,CHINESA,17/01/2025 09:06:00,GRAN.SOLIDO NAO ESPECIF,70000
MYKONOS,EMB,MALTESA,18/01/2025 07:51:00,ACUCAR A GRANEL,75000
SEA DIAMOND I,EMB,PANAMENHA,20/01/2025 07:00:00,ACUCAR A GRANEL,49000
SSI DISCOVERY,EMB,ILHAS MARSHALL,21/01/2025,ACUCAR A GRANEL,60500
CMB MATSYS,EMB,PANAMENHA,24/01/2025 05:00:00,ACUCAR A GRANEL,43000
GU IMABARI,EMB,PANAMENHA,24/01/2025 07:00:00,ACUCAR A GRANEL,70000
INFINITY SKY,EMB,PANAMENHA,24/01/2025 16:26:00,ACUCAR A GRANEL,60000
CSSC IMMINGHAM,EMB,HONG KONG,25/01/2025 10:00:00,GRAN.SOLIDO NAO ESPECIF,85000
GRANDE NIGERIA,EMBDESC,ITALIANA,20/01/2025 14:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,36003600
GRANDE LAGOS,EMBDESC,ITALIANA,21/01/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,72007200
GRANDE AMBURGO,EMB,ITALIANA,26/01/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,3600
CHESAPEAKE HIGHWAY,EMB,PANAMENHA,28/01/2025,VEICULO,9800
ADRIATIC HIGHWAY,EMB,JAPONESA,28/01/2025 06:00:00,VEICULO,9800
POLARIS LEADER,EMBDESC,SINGAPURENSE,30/01/2025 01:00:00,VEICULOS/VRS/CCS.RO-ROVEICULOS/VRS/CCS.RO-RO,25002500
FLORIDA HIGHWAY,EMB,PANAMENHA,02/02/2025 06:00:00,VEICULO,9800
GLOVIS SKY,EMBDESC,ILHAS MARSHALL,06/02/2025 07:00:00,VEICULOS/VRS/CCS.RO-ROVEICULOS/VRS/CCS.RO-RO,28005
