NavioShip,OperaçOperat,BandeiraFlag,Cheg/Arrivald/m/y,MercadoriaGoods,PesoWeight
FERNÃO DE MAGALHÃES,EMBDESC,BRASILEIRA,07/02/2025,CONTEINERES CHEIOSCONTEINERES CHEIOS,36003600
SAN ALBERTO,EMBDESC,LIBERIANA,07/02/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
BREMEN BELLE,EMBDESC,SINGAPURENSE,07/02/2025 16:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SAN NICOLAS MAERSK,EMBDESC,DINAMARQUESA,08/02/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MONTE VERDE,EMBDESC,SINGAPURENSE,09/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SAN LORENZO MAERSK,EMBDESC,DINAMARQUESA,09/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LEBU,EMBDESC,DINAMARQUESA,09/02/2025 14:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SEASPAN OSPREY,EMBDESC,HONG KONG,09/02/2025 23:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,153001530
CORCOVADO,EMB,LIBERIANA,10/02/2025 11:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,26298
MAERSK REDWOOD,EMBDESC,SINGAPURENSE,10/02/2025 11:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
VICENTE PINZÓN,EMBDESC,BRASILEIRA,13/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LEON (AO),EMBDESC,DINAMARQUESA,13/02/2025 20:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
AS SABINE,EMBDESC,LIBERIANA,14/02/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
PL GERMANY,EMBDESC,SINGAPURENSE,14/02/2025 16:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
CAP SAN ARTEMISSIO,EMBDESC,PANAMENHA,15/02/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MONTE VERDE,EMBDESC,SINGAPURENSE,15/02/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SAN MARCO MAERSK,EMBDESC,DINAMARQUESA,16/02/2025 02:00:00,CONTEINERES VAZIOSCONTEINERES CHEIOS,1001800
MAERSK LUZ,EMBDESC,DINAMARQUESA,16/02/2025 14:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LAMANAI,EMBDESC,DINAMARQUESA,16/02/2025 18:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK ACADIA,EMBDESC,PANAMENHA,17/02/2025 11:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LA PAZ,EMBDESC,DINAMARQUESA,18/02/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
NYK DIANA,EMBDESC,PANAMENHA,18/02/2025 13:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,153001530
MAERSK MONTE LINZOR,EMBDESC,SINGAPURENSE,19/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SAN ALBERTO,EMBDESC,LIBERIANA,21/02/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
PL GERMANY,EMBDESC,SINGAPURENSE,22/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SAN AUGUSTIN MAERSK,EMBDESC,DINAMARQUESA,22/02/2025 03:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
SAN NICOLAS MAERSK,EMBDESC,DINAMARQUESA,23/02/2025 02:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LINS,EMBDESC,DINAMARQUESA,23/02/2025 14:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LEON (AO),EMBDESC,DINAMARQUESA,23/02/2025 18:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK LEBU,EMBDESC,DINAMARQUESA,25/02/2025 08:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
TRAIGUEN,EMBDESC,LIBERIANA,27/02/2025 20:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
MAERSK MONTE LINZOR,EMBDESC,SINGAPURENSE,01/03/2025 01:00:00,CONTEINERES CHEIOSCONTEINERES CHEIOS,18001800
FALCON TRADER,EMB,PANAMENHA,17/01/2025 05:48:00,OUTROS,1
FAZENDAO,EMB,BRASILEIRA,21/01/2025,OUTROS,1
FEDERAL THUNDER BAY,EMB,ILHAS MARSHALL,21/01/2025,OUTROS,1
SAVEIROS GAIVOTA,EMB,BRASILEIRA,21/01/2025,OUTROS,1000
SAVEIROS GAIVOTA,EMB,BRASILEIRA,21/01/2025,OUTROS,1
STAR NAVARRA,EMB,ILHAS MARSHALL,21/01/2025,PAPEL E CELULOSE,31645
BBC PEARL,EMB,ANTIGUANA,24/01/2025,CARGA GERAL,7
UTRECHT,EMB,HOLANDESA,07/01/2025 08:00:00,CARGA GERAL,1
CBO ANITA,EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
CBO ENDEAVOUR (REB),EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
CBO ENDEAVOUR (REB),EMB,BRASILEIRA,21/01/2025,CARGA GERAL,1
SAIPEM FDS,EMB,BAHAMENSE,21/01/2025,CARGA GERAL,1
SAIPEM FDS,EMB,BAHAMENSE,21/01/2025,CARGA GERAL,1
SIEM EMERALD,EMB,NORUEGUESA,21/01/2025,CARGA GERAL,1
SIEM EMERALD,EMB,NORUEGUESA,21/01/2025,CARGA GERAL,1
TORM AMORINA,EMB,DINAMARQUESA,21/01/2025 05:00:00,ETHANOL,8861
GOLDEN CITRUS,EMB,PORTUGUESA,21/01/2025 08:00:00,SUCOS CITRICOS A GRANEL,18960
FLORIDA HIGHWAY,EMBDESC,PANAMENHA,21/01/2025 14:00:00,VEICULOVEICULO,980027200
BRAVE SWALLOW,DESC,LIBERIANA,23/01/2025 13:00:00,PRODUTOS SIDERURGICOS,32687
COSCO SHIPPING FOUNTAIN,EMB,HONG KONG,24/01/2025 14:05:00,PAPEL E CELULOSE,20000
HOEGH GIANT,EMB,SINGAPURENSE,25/01/2025 06:00:00,GRAN.LIQUIDO NAO ESPECIF,1
GREEN VITORIA,EMB,LIBERIANA,25/01/2025 10:00:00,PAPEL E CELULOSE,45000
MAPLE ARROW,EMB,BAHAMENSE,26/01/2025 08:00:00,PAPEL E CELULOSE,4690
ATLANTIC ORCHARD,EMB,LIBERIANA,29/01/2025 10:00:00,SUCOS CITRICOS A GRANEL,24000
CBO ANITA,EMB,BRASILEIRA,05/02/2025 06:00:00,CARGA GERAL,1
CBO ANITA,EMB,BRASILEIRA,20/02/2025 06:00:00,CARGA GERAL,1
