Chegada,Embarcação,Mercadoria,Saldo Total,Sentido
,MIRADOR EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,LMZ FRANCISCO,SOJA,,Exp
,GLOVIS SKY,AUTOMÓVEIS DE PASSAGEIROS E OU,,Imp/Exp
,CAPE ARTEMISIO,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,AS CASPRIA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,SANTA REGINA,SOJA,,Exp
,BELMONTE,FARELO DE SOJA,,Exp
,SAKURA BELLE,METANOL,,Imp
,CORNELIA M,SOJA,,Exp
,BOW HECTOR,ALIMET,,Imp
,SWANSEA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,ANDEAN SUN,METANOL,,Imp
,ATMOSPHERE,SOJA,,Exp
,BOW LEOPARD,ALIMET,,Imp
,ANDREAS PETRAKIS,SOJA,,Exp
,CORCOVADO,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,SCARLET ROBIN,METANOL,,Imp
,MSC ARMONIA,PASSAGEIROS,,Imp/Exp
,HPC ATLANTIC,AÇÚCAR,,Exp
,IRENES RESOLVE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,NC BREDA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,DSI AQUARIUS,CLORETOS DE POTASSIO,,Imp
,MSC SARA ELENA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,BOW HARMONY,"BIODIESEL E SUAS MISTURAS,C/ M",,Exp
,MAERSK LOTA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,ROSTRUM AMERICA,MAP,,Imp
,XIN CHANG SHA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,CUMBIA 1,FUEL-OIL (OLEO COMBUSTIVEL),,Exp
,SG FRIENDSHIP,OLEO DE SOJA,,Exp
,MOUNT TARANAKI,CEVADA CERVEJEIRA,,Imp
,CHESAPEAKE HIGHWAY,AUTOMÓVEIS DE PASSAGEIROS E OU,,Imp/Exp
,BROOKLYN BRIDGE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,PACIFIC ONYX,GASOLINAS,,Imp
,HYUNDAI GOODWILL,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,ASI-M,SOJA,,Exp
,SAN LORENZO MAERSK,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,MAERSK LAVRAS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,HONG DAI,SOJA,,Exp
,FRIENDSHIP DIVA,SULFATO DE AMONIO,,Imp
,AS CAROLINA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,PIS KALIMANTAN,OUTROS OLEOS DE PALMISTE,,Imp
,IONIC KIZUNA,SOJA,,Exp
,CMA CGM PLATON,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,SEATTLE C,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,ALBATROSS,SOJA,,Exp
,HAFNIA TOURMALINE,OLEO DE SOJA,,Exp
,ARDMORE SEAFOX,OLEO DE SOJA,,Exp
,YANNIS GORGIAS,MILHO,,Exp
,ESL NHAVA SHEVA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,NEW HORIZON,MILHO,,Exp
,SAGA FLORA,PASTA QUIM.MADEIRA DE N/CONIF.,,Exp
,ENSENADA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,FEDERAL ST LAURENT,FERTILIZ.MINER.QUIM.C/NITROGEN,,Imp
,XIAMEN EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,HUEMUL,METILATO DE SODIO,,Imp
,SEAWAYS GALLE,OLEO DE SOJA,,Exp
,BLUE IONIAN,SOJA,,Exp
,CAPE PIONEER,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp
,TOKI ARROW,PASTA QUIM.MADEIRA DE N/CONIF.,,Exp
,STAR NINA,MILHO,,Exp
,AFRICAN OSPREY,CEVADA CERVEJEIRA,,Imp
