Arrival Date,Ship,Product,Volume,Direction,Port
,PELICAN ISLAND,CEVADA CERVEJEIRA,,Imp,PARANAGUA
,BREMERHAVEN EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,UNITY,UREIA,,Imp,PARANAGUA
,DARYA NEETI,SOJA,,Exp,PARANAGUA
,ANTHEA,MILHO,,Exp,PARANAGUA
,CMA CGM BERLIOZ,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,WISTERIA,SOJA,,Exp,PARANAGUA
,MIRADOR EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,LMZ FRANCISCO,SOJA,,Exp,PARANAGUA
,GLOVIS SKY,AUTOMÓVEIS DE PASSAGEIROS E OU,,Imp/Exp,PARANAGUA
,CAPE ARTEMISIO,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,AS CASPRIA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,SANTA REGINA,SOJA,,Exp,PARANAGUA
,BELMONTE,FARELO DE SOJA,,Exp,PARANAGUA
,SAKURA BELLE,METANOL,,Imp,PARANAGUA
,CORNELIA M,SOJA,,Exp,PARANAGUA
,BOW HECTOR,ALIMET,,Imp,PARANAGUA
,SWANSEA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,ANDEAN SUN,METANOL,,Imp,PARANAGUA
,ATMOSPHERE,SOJA,,Exp,PARANAGUA
,BOW LEOPARD,ALIMET,,Imp,PARANAGUA
,ANDREAS PETRAKIS,SOJA,,Exp,PARANAGUA
,CORCOVADO,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,SCARLET ROBIN,METANOL,,Imp,PARANAGUA
,HPC ATLANTIC,AÇÚCAR,,Exp,PARANAGUA
,IRENES RESOLVE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,NC BREDA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,DSI AQUARIUS,CLORETOS DE POTASSIO,,Imp,PARANAGUA
,MSC SARA ELENA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,BOW HARMONY,"BIODIESEL E SUAS MISTURAS,C/ M",,Exp,PARANAGUA
,MAERSK LOTA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,ROSTRUM AMERICA,MAP,,Imp,PARANAGUA
,XIN CHANG SHA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,CUMBIA 1,FUEL-OIL (OLEO COMBUSTIVEL),,Exp,PARANAGUA
,SG FRIENDSHIP,OLEO DE SOJA,,Exp,PARANAGUA
,MOUNT TARANAKI,CEVADA CERVEJEIRA,,Imp,PARANAGUA
,CHESAPEAKE HIGHWAY,AUTOMÓVEIS DE PASSAGEIROS E OU,,Imp/Exp,PARANAGUA
,BROOKLYN BRIDGE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,PACIFIC ONYX,GASOLINAS,,Imp,PARANAGUA
,HYUNDAI GOODWILL,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,ASI-M,SOJA,,Exp,PARANAGUA
,SAN LORENZO MAERSK,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,MAERSK LAVRAS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,HONG DAI,SOJA,,Exp,PARANAGUA
,FRIENDSHIP DIVA,SULFATO DE AMONIO,,Imp,PARANAGUA
,AS CAROLINA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,PIS KALIMANTAN,OUTROS OLEOS DE PALMISTE,,Imp,PARANAGUA
,CMA CGM PLATON,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,SEATTLE C,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,ALBATROSS,SOJA,,Exp,PARANAGUA
,HAFNIA TOURMALINE,OLEO DE SOJA,,Exp,PARANAGUA
,ARDMORE SEAFOX,OLEO DE SOJA,,Exp,PARANAGUA
,YANNIS GORGIAS,MILHO,,Exp,PARANAGUA
,ESL NHAVA SHEVA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,NEW HORIZON,MILHO,,Exp,PARANAGUA
,SAGA FLORA,PASTA QUIM.MADEIRA DE N/CONIF.,,Exp,PARANAGUA
,ENSENADA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,FEDERAL ST LAURENT,FERTILIZ.MINER.QUIM.C/NITROGEN,,Imp,PARANAGUA
,XIAMEN EXPRESS,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,HUEMUL,METILATO DE SODIO,,Imp,PARANAGUA
,SEAWAYS GALLE,OLEO DE SOJA,,Exp,PARANAGUA
,BLUE IONIAN,SOJA,,Exp,PARANAGUA
,CAPE PIONEER,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,TOKI ARROW,PASTA QUIM.MADEIRA DE N/CONIF.,,Exp,PARANAGUA
,STAR NINA,MILHO,,Exp,PARANAGUA
,AFRICAN OSPREY,CEVADA CERVEJEIRA,,Imp,PARANAGUA
,AVAX,OLEO DE SOJA,,Exp,PARANAGUA
,SAN RAPHAEL MAERSK,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,MSC ARMONIA,PASSAGEIROS,,Imp/Exp,PARANAGUA
,LEONARDO,AÇÚCAR,,Exp,PARANAGUA
,IOLCOS AMBITION,MILHO,,Exp,PARANAGUA
,NC BRUMA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,ROSANNA,SULFATO DE AMONIO,,Imp,PARANAGUA
,PORT NAGASAKI,CLORETOS DE POTASSIO,,Imp,PARANAGUA
,CARAVOS TRIUMPH,FARELO DE SOJA,,Exp,PARANAGUA
,DEJIMA,AÇÚCAR,,Exp,PARANAGUA
,SEASPAN HARRIER,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,IONIC KIZUNA,SOJA,,Exp,PARANAGUA
,EVER LOVELY,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,GOLDEN SAKURA,AÇÚCAR,,Exp,PARANAGUA
,HONG PROSPERITY,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,LORD BYRON,SOJA,,Exp,PARANAGUA
,LYRIC SUN,SOJA,,Exp,PARANAGUA
,CMA CGM BELEM,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,MSC GAYANE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,MINIMATA,FARELO DE SOJA,,Exp,PARANAGUA
,MASTRO NIKOS,SOJA,,Exp,PARANAGUA
,GRAND OCEAN,SOJA,,Exp,PARANAGUA
,MONTE ROSA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,MSC PEGASUS VII,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,NC BRISA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
,DA YU,,,,PARANAGUA
,CL SEVEN,,,,PARANAGUA
,MH ARPEGGIO,,,,PARANAGUA
,HYUNDAI PRESTIGE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
18/01/2025 12:18,MSC ALBANY,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
19/01/2025 20:00,MSC SHUBA B,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
20/01/2025 10:00,SAN ANTONIO MAERSK,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
19/01/2025 15:54,ADRIATIC HIGHWAY,VEICULOS,,Imp/Exp,PARANAGUA
20/01/2025 19:24,ZIM BALTIMORE,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
19/01/2025 06:00,TORM AMORINA,OLEO DE MILHO,,Exp,PARANAGUA
18/01/2025 09:48,ALPINE LIBERTY,OLEO DE SOJA,,Exp,PARANAGUA
18/01/2025 21:00,POLARIS LEADER,VEICULOS,,Imp/Exp,PARANAGUA
18/01/2025 21:00,BF HAMBURG,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
19/01/2024 18:00,MAERSK EL PALOMAR,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
20/01/2025 00:12,GREEN VITORIA,CONTÊINERES (CONTENTORES) INCL,,Imp/Exp,PARANAGUA
11/01/2025 16:48,JEN LR,MILHO,,Exp,PARANAGUA
10/01/2025 00:00,KERKYRA,FARELO DE SOJA,,Exp,PARANAGUA
08/01/2025 23:24,PEAK RAINIER,FARELO DE SOJA,,Exp,PARANAGUA
04/01/2025 00:24,AFRICAN TOUCAN,OUT.TRIGOS E MISTURAS DE TRIGO,,Imp,PARANAGUA
03/12/2024 04:30,CL XINYU,SULFATO DE AMONIO,,Imp,PARANAGUA
15/01/2025 13:44:00,CUMBIA 1,OLEO COMBUSTIVEL,30000,EXP,SANTOS
15/01/2025 19:42:00,PRAVASI,OLEO DIESEL,26821,IMP,SANTOS
16/01/2025 10:00:00,ARCTOS,OLEO DIESEL,30000,EXP,SANTOS
18/01/2025 18:30:00,CLARITY,OLEO COMBUSTIVEL,30000,EXP,SANTOS
19/01/2025 15:30:00,ANITA GARIBALDI,OLEO COMBUSTIVEL,60000,EXP,SANTOS
19/01/2025 22:54:00,ECO ORACLE,GRAN.LIQUIDO NAO ESPECIF,16799,IMP,SANTOS
21/01/2025,ALESSANDRO VOLTA,GAS LIQUEFEITO,4000,IMP,SANTOS
21/01/2025,ALTAIR,OLEO DIESEL,30000,EXP,SANTOS
21/01/2025,ELANDRA STAR,OLEO DIESEL,30000,EXP,SANTOS
21/01/2025,JAKARTA,OLEO COMBUSTIVEL,50000,EXP,SANTOS
21/01/2025,LUIGI LAGRANGE,GAS LIQUEFEITO,10000,IMP,SANTOS
21/01/2025,MANDALA,OLEO DIESEL,38863,IMP,SANTOS
21/01/2025,MARLIN,OLEO DIESEL,16000,EXP,SANTOS
21/01/2025,MERSEY,OLEO DIESEL,30000,EXP,SANTOS
21/01/2025,SOUTHERN QUOKKA,GRAN.LIQUIDO NAO ESPECIF,2500,EXP,SANTOS
21/01/2025,STI JARDINS,GASOLINA COMUM,25000,EXP,SANTOS
21/01/2025,VORIAS,OLEO DIESEL,30000,EXP,SANTOS
21/01/2025,WITHAM,OLEO LUBRIFICANTE,2992,IMP,SANTOS
22/01/2025,CLARICE,GRAN.LIQUIDO NAO ESPECIF,4848,IMP,SANTOS
22/01/2025 07:00:00,BOW LYNX,GRAN.LIQUIDO NAO ESPECIF,2280,EXP,SANTOS
23/01/2025,ORANGE SUN,SUCOS CITRICOS A GRANEL,30000,EXP,SANTOS
23/01/2025 01:00:00,CASTILLO DE MACEDA (REB),SODA CAUSTICA,8001,IMP,SANTOS
23/01/2025 09:22:00,HORIZON ARMONIA,OLEO DIESEL,25000,EXP,SANTOS
23/01/2025 09:32:00,ARDMORE GIBRALTAR,GASOLINA COMUM,25000,EXP,SANTOS
23/01/2025 11:46:00,HONESTY,OLEO COMBUSTIVEL,30000,EXP,SANTOS
26/01/2025 08:00:00,CARLOS FISCHER,SUCOS CITRICOS A GRANEL,32040,EXP,SANTOS
28/01/2025,ORANGE OCEAN,SUCOS CITRICOS A GRANEL,17000,EXP,SANTOS
28/01/2025 06:00:00,BOW PERSISTENT,GRAN.LIQUIDO NAO ESPECIF,19194,IMP,SANTOS
28/01/2025 07:00:00,BOW HECTOR,GRAN.LIQUIDO NAO ESPECIF,4912,IMP,SANTOS
28/01/2025 07:00:00,FLUMAR MACEIO (REB),GRAN.LIQUIDO NAO ESPECIF,1900,IMP,SANTOS
01/02/2025,ORANGE STAR,SUCOS CITRICOS A GRANEL,32000,EXP,SANTOS
02/02/2025 07:00:00,STAVANGER POSEIDON,GRAN.LIQUIDO NAO ESPECIF,11622,IMP,SANTOS
02/02/2025 08:00:00,PREMIUM DO BRASIL,SUCOS CITRICOS A GRANEL,30080,EXP,SANTOS
07/02/2025,ORANGE BLOSSOM 2,SUCOS CITRICOS A GRANEL,17000,EXP,SANTOS
08/02/2025,ORANGE SKY,SUCOS CITRICOS A GRANEL,18400,EXP,SANTOS
24/01/2025,JUMEIRAH BEACH,TRIGO A GRANEL,29700,IMP,SANTOS
08/12/2024 17:20:00,YM PIONEER,SOJA A GRANEL,69300,EXP,SANTOS
13/01/2025 10:18:00,GLOBE DANAE,SOJA A GRANEL,63000,EXP,SANTOS
13/01/2025 17:00:00,FREYA SCHULTE,MILHO A GRANEL,37000,EXP,SANTOS
16/01/2025 10:12:00,CL DAYANG HE,SOJA A GRANEL,68300,EXP,SANTOS
16/01/2025 17:45:00,VICTORIA,PELLETS A GRANEL,55000,EXP,SANTOS
16/01/2025 22:18:00,JY SHANGHAI,SOJA A GRANEL,69701,EXP,SANTOS
21/01/2025,MEDI EGADI,MILHO A GRANEL,71437,EXP,SANTOS
21/01/2025 03:00:00,ALPHA VISION,SOJA A GRANEL,66000,EXP,SANTOS
21/01/2025 18:00:00,KYPROS BRAVERY,SOJA A GRANEL,63000,EXP,SANTOS
22/01/2025 08:00:00,VIBEKE IRIS,SOJA A GRANEL,66000,EXP,SANTOS
23/01/2025 07:00:00,CANOLA ZIBO,PELLETS A GRANEL,63000,EXP,SANTOS
23/01/2025 07:00:00,IVESTOS 9,SOJA A GRANEL,65000,EXP,SANTOS
25/01/2025 08:00:00,IOLCOS FIGHTER,SOJA A GRANEL,66200,EXP,SANTOS
28/01/2025,PHOENIX,SOJA A GRANEL,69300,EXP,SANTOS
29/01/2025 07:00:00,EN MAY,PELLETS A GRANEL,63000,EXP,SANTOS
01/02/2025 12:00:00,TAI KUDOS,SOJA A GRANEL,69300,EXP,SANTOS
25/12/2024 19:42:00,MANDARIN SINGAPORE,FERTILIZANTES,49500,IMP,SANTOS
02/01/2025 09:00:00,PRINCESSE OUI,FERTILIZANTES,30799,IMP,SANTOS
04/01/2025 15:00:00,WISDOM DIVA,FERTILIZANTES,77500,IMP,SANTOS
